Step;AvgWaiting;MedianWaiting;9/10Quantile;MaxWaiting;
10;0;0;0;0;
20;2;0;10;14;
30;2;0;10;14;
40;2;0;10;14;
50;3;0;10;22;
60;3;0;10;32;
70;3;0;10;32;
80;3;0;12;40;
90;4;0;12;40;
100;4;0;12;40;
110;4;0;12;40;
120;4;0;12;40;
130;4;0;12;40;
140;4;0;12;89;
150;4;0;12;89;
160;4;0;12;89;
170;4;0;12;89;
180;4;0;12;89;
190;4;0;12;105;
200;4;0;12;105;
210;5;0;12;105;
220;5;0;12;105;
230;5;0;12;105;
240;5;0;13;105;
250;5;0;13;105;
260;5;0;14;105;
270;5;0;14;105;
280;5;0;14;105;
290;5;0;14;105;
300;5;0;14;168;
310;5;0;14;168;
320;5;0;14;168;
330;5;0;14;168;
340;5;0;14;168;
350;5;0;14;168;
360;5;0;14;168;
370;5;0;14;168;
380;5;0;14;168;
390;5;0;14;168;
400;5;0;14;168;
410;5;0;14;168;
420;5;0;14;168;
430;5;0;14;168;
440;5;0;14;168;
450;5;0;14;168;
460;5;0;14;168;
470;5;0;14;168;
480;5;0;14;168;
490;5;0;14;168;
500;5;0;14;168;
510;5;0;14;168;
520;5;0;14;168;
530;5;0;14;168;
540;5;0;14;168;
550;5;0;14;168;
560;5;0;14;168;
570;5;0;14;168;
580;5;0;14;168;
590;5;0;14;168;
600;5;0;14;168;
610;5;0;14;168;
620;5;0;14;168;
630;5;0;14;168;
640;5;0;14;168;
650;5;0;14;168;
660;5;0;14;168;
670;5;0;14;168;
680;5;0;14;168;
690;5;0;14;168;
700;5;0;14;168;
710;5;0;14;168;
720;5;0;14;168;
730;5;0;14;168;
740;5;0;14;168;
750;5;0;14;168;
760;5;0;14;168;
770;5;0;14;168;
780;5;0;14;168;
790;5;0;14;168;
800;5;0;14;168;
810;5;0;13;168;
820;5;0;13;168;
830;5;0;13;168;
840;5;0;13;168;
850;5;0;14;168;
860;5;0;13;168;
870;5;0;13;168;
880;5;0;14;168;
890;5;0;13;168;
900;5;0;13;168;
910;5;0;13;168;
920;5;0;13;168;
930;5;0;14;168;
940;5;0;13;168;
950;5;0;13;168;
960;5;0;13;168;
970;5;0;13;168;
980;5;0;13;168;
990;5;0;13;168;
1000;5;0;13;168;
1010;5;0;13;168;
1020;5;0;13;168;
1030;5;0;13;168;
1040;5;0;14;168;
1050;5;0;13;168;
1060;5;0;13;168;
1070;5;0;13;168;
1080;5;0;14;168;
1090;5;0;14;168;
1100;5;0;14;168;
1110;5;0;13;168;
1120;5;0;13;168;
1130;5;0;13;168;
1140;5;0;13;168;
1150;5;0;13;168;
1160;5;0;13;168;
1170;5;0;13;168;
1180;5;0;13;168;
1190;5;0;13;168;
1200;5;0;13;168;
1210;5;0;13;168;
1220;5;0;13;168;
1230;5;0;13;168;
1240;5;0;14;168;
1250;5;0;14;168;
1260;5;0;14;168;
1270;5;0;14;168;
1280;5;0;14;168;
1290;5;0;14;168;
1300;5;0;14;168;
1310;5;0;14;168;
1320;5;0;14;168;
1330;5;0;14;168;
1340;5;0;14;168;
1350;5;0;14;168;
1360;5;0;13;168;
1370;5;0;13;168;
1380;5;0;13;168;
1390;5;0;13;168;
1400;5;0;13;168;
1410;5;0;13;168;
1420;5;0;13;168;
1430;5;0;13;168;
1440;5;0;13;168;
1450;5;0;13;168;
1460;5;0;13;168;
1470;5;0;13;168;
1480;5;0;13;168;
1490;5;0;13;168;
1500;5;0;13;168;
1510;5;0;13;168;
1520;5;0;13;168;
1530;5;0;13;168;
1540;5;0;13;168;
1550;5;0;13;168;
1560;5;0;13;168;
1570;5;0;13;168;
1580;5;0;13;168;
1590;5;0;13;168;
1600;5;0;13;168;
1610;5;0;13;168;
1620;5;0;13;168;
1630;5;0;13;168;
1640;5;0;13;168;
1650;5;0;13;168;
1660;5;0;13;168;
1670;5;0;13;168;
1680;5;0;13;168;
